class_name,source_image_name,output_image_name,source_image_path,source_label_path,output_image_path,output_label_path,domain_score,normalized_domain_score,diversity_score,normalized_diversity_score,final_score,selected_rank,feature_backbone,selection_method
D20,D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.png,D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000680_prompt13_seed2919149075579195056_00001_.txt,0.85282254,1.0,0.0,0.0,1.0,1,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.png,D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000484_prompt06_seed8213615881074998392_00001_.txt,0.83364296,0.8139141798019409,0.6646033525466919,0.9249001145362854,0.8694071769714355,2,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.png,D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000438_prompt11_seed3073386136026472136_00001_.txt,0.8048113,0.5341810584068298,0.6312617659568787,0.9371786117553711,0.7356798648834229,3,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.png,D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001868_prompt01_seed6400878645066307891_00001_.txt,0.8136326,0.619767963886261,0.5666418671607971,0.8442053198814392,0.7319866418838501,4,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.png,D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000795_prompt07_seed6663157860448159474_00001_.txt,0.8096407,0.5810374021530151,0.5644232034683228,0.9074240922927856,0.7442307472229004,5,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.png,D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001164_prompt11_seed7593414303736113571_00001_.txt,0.8107624,0.5919204354286194,0.5415185689926147,0.8483222723007202,0.7201213836669922,6,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.png,D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt02_seed3369399552383946525_00001_.txt,0.8127001,0.6107204556465149,0.5142509937286377,0.7779625654220581,0.6943415403366089,7,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.png,D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001234_prompt06_seed2297655403931883094_00001_.txt,0.83380234,0.8154605627059937,0.4282273054122925,0.613306999206543,0.7143837809562683,8,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.png,D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001172_prompt06_seed1585830868003704169_00001_.txt,0.8253064,0.7330306172370911,0.4157087206840515,0.6259278655052185,0.6794792413711548,9,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.png,D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001490_prompt01_seed6035785119913823348_00001_.txt,0.8146686,0.629819393157959,0.449299156665802,0.7205119132995605,0.6751656532287598,10,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.png,D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000821_prompt01_seed165304296908271717_00001_.txt,0.78748494,0.3660757839679718,0.5319517254829407,0.9217625260353088,0.6439191699028015,11,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.png,D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000840_prompt01_seed9194736919357923741_00001_.txt,0.7941263,0.4305118918418884,0.49487122893333435,0.8314752578735352,0.6309936046600342,12,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.png,D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000387_prompt01_seed7348901472624640132_00001_.txt,0.7729158,0.22472158074378967,0.564083456993103,1.0,0.6123607754707336,13,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.png,D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt07_seed8933906765736019174_00001_.txt,0.8073941,0.5592400431632996,0.3985760807991028,0.7032430768013,0.6312415599822998,14,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.png,D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_001490_prompt02_seed8505953051302299354_00001_.txt,0.7986041,0.47395676374435425,0.4218611717224121,0.771879255771637,0.6229180097579956,15,lpips_alex,Greedy Farthest Point Sampling with Quality Score
D20,D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.png,D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D20/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/images/D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.png,/root/autodl-tmp/road_damage_exp/screening/final_ours_200/labels/D20_D20_alligator_crack_China_MotorBike_000599_prompt09_seed2895747597325799849_00001_.txt,0.7997713,0.48528164625167847,0.4155363440513611,0.7536948919296265,0.6194882392883301,16,lpips_alex,Greedy Farthest Point Sampling with Quality Score
