image_name,image_path,target_class,target_class_id,best_pred_class,best_pred_class_id,best_conf,matched_box_count,structure_score,structure_pass,reason,label_path
pothole_1.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1.jpg,D40_pothole,3,D40_pothole,3,0.113586,0,0.113586,False,low_conf,
pothole_100.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_100.jpg,D40_pothole,3,,,0.0,0,0.0,False,no_detection,
pothole_1000.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1000.jpg,D40_pothole,3,D20_alligator_crack,2,0.062103,0,0.0,False,class_mismatch,
pothole_1002.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1002.jpg,D40_pothole,3,D20_alligator_crack,2,0.23584,0,0.0,False,class_mismatch,
pothole_1004.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1004.jpg,D40_pothole,3,D20_alligator_crack,2,0.768555,0,0.0,False,class_mismatch,
pothole_1005.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1005.jpg,D40_pothole,3,D20_alligator_crack,2,0.687012,0,0.0,False,class_mismatch,
pothole_1006.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1006.jpg,D40_pothole,3,D40_pothole,3,0.146118,0,0.146118,False,low_conf,
pothole_1007.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1007.jpg,D40_pothole,3,D20_alligator_crack,2,0.777344,0,0.0,False,class_mismatch,
pothole_1008.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1008.jpg,D40_pothole,3,D20_alligator_crack,2,0.219971,0,0.0,False,class_mismatch,
pothole_1009.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1009.jpg,D40_pothole,3,,,0.0,0,0.0,False,no_detection,
pothole_1011.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1011.jpg,D40_pothole,3,,,0.0,0,0.0,False,no_detection,
pothole_1012.jpg,/root/autodl-tmp/road_damage_exp/generated_candidates/images_D40_gsp/pothole_1012.jpg,D40_pothole,3,D20_alligator_crack,2,0.11438,0,0.0,False,class_mismatch,
